"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/audioHaptics.ts", "TypeScript", 66, 29, 20, 115
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/autosave.ts", "TypeScript", 51, 15, 7, 73
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/i18n/index.ts", "TypeScript", 73, 1, 7, 81
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/realtime.ts", "TypeScript", 108, 3, 22, 133
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/scoring.ts", "TypeScript", 11, 1, 2, 14
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/stripe.ts", "TypeScript", 19, 1, 4, 24
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/supabaseAdmin.ts", "TypeScript", 15, 1, 4, 20
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/supabaseClient.ts", "TypeScript", 10, 1, 4, 15
"/Users/palsteen/Applications/Vibecoding/Redacted/lib/validation.ts", "TypeScript", 8, 1, 3, 12
"Total", "-", 361, 53, 73, 487